GameCategory,GameTitle,Source,mood,cluster_predicted
2,16,9,0,3
2,8,1,1,4
2,4,13,2,2
2,10,20,1,1
2,9,18,1,1
2,17,10,0,3
2,0,3,0,5
2,6,17,1,1
3,18,5,2,0
3,3,15,2,2
3,2,11,2,2
0,14,7,0,3
0,1,14,2,2
0,7,16,1,1
0,11,19,1,1
0,12,4,1,4
1,15,8,0,3
1,13,12,0,3
4,19,0,2,0
4,20,2,2,0
4,5,6,0,5
